id,weight,value,ratio
260,69,324.98,4.709855
261,94,363.63,3.868404
262,78,202.20,2.592308
263,65,116.63,1.794308
264,63,327.73,5.202063
265,42,236.92,5.640952
266,22,100.27,4.557727
267,39,338.57,8.681282
268,74,316.91,4.282568
269,13,153.74,11.826154
270,80,405.31,5.066375
271,92,263.37,2.862717
272,58,167.22,2.883103
273,33,176.50,5.348485
274,13,268.34,20.641538
275,39,198.88,5.099487
276,24,132.87,5.536250
277,28,261.06,9.323571
278,3,257.35,85.783333
279,5,180.67,36.134000
280,57,393.23,6.898772
281,69,427.04,6.188986
282,42,285.02,6.786190
283,2,326.60,163.300000
284,56,311.75,5.566964
285,37,313.58,8.475135
286,16,198.83,12.426875
287,70,249.29,3.561286
288,79,357.17,4.521139
289,23,414.61,18.026522
290,50,412.00,8.240000
291,53,147.96,2.791698
292,11,133.63,12.148182
293,20,405.83,20.291500
294,52,281.82,5.419615
295,61,302.81,4.964098
296,29,383.89,13.237586
297,80,134.19,1.677375
298,25,133.30,5.332000
299,94,282.75,3.007979
300,97,118.23,1.218866
301,99,320.64,3.238788
302,53,374.69,7.069623
303,49,160.07,3.266735
304,27,338.07,12.521111
305,33,354.59,10.745152
306,77,326.26,4.237143
307,22,127.76,5.807273
308,89,263.69,2.962809
309,38,389.36,10.246316
310,15,366.92,24.461333
311,39,157.69,4.043333
312,7,156.72,22.388571
313,83,201.67,2.429759
314,87,189.49,2.178046
315,28,355.26,12.687857
316,87,251.32,2.888736
317,7,385.87,55.124286
318,31,373.92,12.061935
319,30,371.80,12.393333
320,41,381.67,9.309024
321,63,312.37,4.958254
322,47,396.80,8.442553
323,67,168.76,2.518806
324,43,305.83,7.112326
325,3,386.79,128.930000
326,46,286.46,6.227391
327,77,167.48,2.175065
328,6,398.23,66.371667
329,71,418.01,5.887465
330,84,352.88,4.200952
331,43,129.17,3.003953
332,32,417.01,13.031562
333,18,320.87,17.826111
334,57,303.15,5.318421
335,19,369.66,19.455789
336,12,278.45,23.204167
337,26,204.49,7.865000
338,84,364.17,4.335357
339,78,393.60,5.046154
340,5,216.93,43.386000
341,70,173.86,2.483714
342,42,152.22,3.624286
343,75,191.12,2.548267
344,63,330.56,5.246984
345,75,172.42,2.298933
346,3,205.30,68.433333
347,40,264.73,6.618250
348,61,167.70,2.749180
349,63,193.24,3.067302
350,81,279.31,3.448272
351,75,386.39,5.151867
352,53,320.65,6.050000
353,77,203.53,2.643247
354,80,306.86,3.835750
355,38,361.72,9.518947
356,31,127.96,4.127742
357,15,110.03,7.335333
358,99,413.89,4.180707
359,23,179.75,7.815217
360,98,332.99,3.397857
361,75,420.82,5.610933
362,9,321.87,35.763333
363,49,203.60,4.155102
364,53,212.93,4.017547
365,55,326.58,5.937818
366,49,101.78,2.077143
367,90,419.17,4.657444
368,96,319.26,3.325625
369,84,410.35,4.885119
370,31,313.58,10.115484
371,87,380.09,4.368851
372,61,343.96,5.638689
373,19,155.36,8.176842
374,85,220.64,2.595765
375,11,176.63,16.057273
376,87,303.52,3.488736
377,27,409.05,15.150000
378,31,304.91,9.835806
379,60,134.99,2.249833
380,78,125.56,1.609744
381,81,317.45,3.919136
382,14,235.64,16.831429
383,17,229.70,13.511765
384,57,259.28,4.548772
385,28,198.81,7.100357
386,1,155.62,155.620000
387,34,192.45,5.660294
388,54,361.00,6.685185
389,45,198.27,4.406000
390,3,370.33,123.443333
391,23,317.22,13.792174
392,58,314.26,5.418276
393,36,294.31,8.175278
394,34,422.37,12.422647
395,61,340.27,5.578197
396,22,307.91,13.995909
397,9,346.10,38.455556
398,32,173.10,5.409375
399,67,327.15,4.882836
400,75,299.85,3.998000
401,32,181.78,5.680625
402,93,269.86,2.901720
403,42,290.09,6.906905
404,27,176.93,6.552963
405,97,383.15,3.950000
406,94,360.32,3.833191
407,33,173.75,5.265152
408,58,283.64,4.890345
409,13,162.13,12.471538
410,25,297.01,11.880400
411,63,209.90,3.331746
412,59,353.36,5.989153
413,19,193.39,10.178421
414,59,399.71,6.774746
415,16,329.89,20.618125
416,76,118.81,1.563289
417,32,245.09,7.659063
418,44,120.37,2.735682
419,7,273.41,39.058571
420,77,291.34,3.783636
421,96,127.35,1.326562
422,34,353.56,10.398824
423,83,393.65,4.742771
424,88,304.26,3.457500
425,50,354.01,7.080200
426,75,217.25,2.896667
427,74,209.58,2.832162
428,46,357.00,7.760870
429,32,223.89,6.996562
430,58,100.49,1.732586
431,68,276.03,4.059265
432,2,223.43,111.715000
433,9,202.92,22.546667
434,30,164.51,5.483667
435,86,162.66,1.891395
436,25,394.88,15.795200
437,37,414.97,11.215405
438,35,195.58,5.588000
439,4,405.82,101.455000
440,69,315.07,4.566232
441,16,156.76,9.797500
442,27,154.05,5.705556
443,66,241.77,3.663182
444,66,260.38,3.945152
445,19,402.81,21.200526
446,95,109.12,1.148632
447,20,295.93,14.796500
448,50,312.02,6.240400
449,54,125.42,2.322593
450,95,214.54,2.258316
451,94,397.91,4.233085
452,78,352.26,4.516154
453,92,192.32,2.090435
454,49,397.49,8.112041
455,29,386.65,13.332759
456,74,101.42,1.370541
457,94,423.91,4.509681
458,94,416.28,4.428511
459,3,301.13,100.376667
460,86,179.07,2.082209
461,24,295.97,12.332083
462,68,286.49,4.213088
463,31,284.36,9.172903
464,40,257.02,6.425500
465,71,338.75,4.771127
466,86,420.59,4.890581
467,43,200.68,4.666977
468,95,202.29,2.129368
469,13,300.12,23.086154
470,60,169.94,2.832333
471,77,277.02,3.597662
472,66,278.11,4.213788
473,40,298.88,7.472000
474,24,340.02,14.167500
475,78,146.76,1.881538
476,89,402.78,4.525618
477,40,380.59,9.514750
478,82,176.04,2.146829
479,90,228.29,2.536556
480,71,104.88,1.477183
481,8,114.35,14.293750
482,89,287.73,3.232921
483,10,195.36,19.536000
484,55,157.85,2.870000
485,1,196.69,196.690000
486,91,372.20,4.090110
487,68,109.97,1.617206
488,56,323.31,5.773393
489,95,164.17,1.728105
490,73,254.64,3.488219
491,79,285.32,3.611646
492,48,412.20,8.587500
493,2,406.81,203.405000
494,12,314.48,26.206667
495,44,206.84,4.700909
496,37,403.84,10.914595
497,26,290.38,11.168462
498,22,314.26,14.284545
499,94,115.49,1.228617
500,91,278.21,3.057253
501,27,251.71,9.322593
502,67,235.40,3.513433
503,14,338.38,24.170000
504,43,216.93,5.044884
505,38,330.56,8.698947
506,25,172.06,6.882400
507,88,332.56,3.779091
508,92,189.84,2.063478
509,58,380.81,6.565690
510,68,265.74,3.907941
511,37,391.29,10.575405
512,12,237.83,19.819167
513,28,322.60,11.521429
514,78,353.38,4.530513
515,91,114.42,1.257363
516,55,141.38,2.570545
517,80,107.83,1.347875
518,16,311.62,19.476250
519,24,196.57,8.190417
520,16,112.98,7.061250
521,97,381.83,3.936392
522,75,114.43,1.525733
523,83,324.08,3.904578
524,30,219.92,7.330667
525,1,237.06,237.060000
526,96,259.33,2.701354
527,41,389.72,9.505366
528,61,175.56,2.878033
529,99,250.46,2.529899
530,81,268.53,3.315185
531,93,109.99,1.182688
532,51,154.79,3.035098
533,23,319.02,13.870435
534,6,180.13,30.021667
535,1,321.74,321.740000
536,79,339.54,4.297975
537,77,157.72,2.048312
538,84,114.16,1.359048
539,35,387.64,11.075429
540,61,177.72,2.913443
541,66,166.03,2.515606
542,82,207.34,2.528537
543,25,230.05,9.202000
544,64,304.48,4.757500
545,61,369.38,6.055410
546,31,261.10,8.422581
547,89,112.20,1.260674
548,6,244.61,40.768333
549,32,384.60,12.018750
550,68,413.50,6.080882
551,74,132.54,1.791081
552,60,415.72,6.928667
553,61,409.38,6.711148
554,84,213.88,2.546190
555,45,415.48,9.232889
556,4,240.29,60.072500
557,69,286.53,4.152609
558,76,359.77,4.733816
559,80,360.04,4.500500
560,92,230.75,2.508152
561,92,247.77,2.693152
562,91,214.97,2.362308
563,22,223.20,10.145455
564,66,183.39,2.778636
565,95,387.50,4.078947
566,44,283.80,6.450000
567,70,122.79,1.754143
568,2,362.41,181.205000
569,45,177.81,3.951333
570,75,138.80,1.850667
571,40,392.00,9.800000
572,30,103.39,3.446333
573,3,318.02,106.006667
574,2,321.49,160.745000
575,31,336.58,10.857419
576,35,389.96,11.141714
577,40,365.40,9.135000
578,66,351.99,5.333182
579,5,309.65,61.930000
580,25,245.46,9.818400
581,13,339.02,26.078462
582,4,384.08,96.020000
583,73,223.14,3.056712
584,39,374.56,9.604103
585,66,398.48,6.037576
586,29,279.71,9.645172
587,12,393.76,32.813333
588,96,292.21,3.043854
589,74,235.91,3.187973
590,86,362.98,4.220698
591,60,136.37,2.272833
592,31,408.76,13.185806
593,99,147.29,1.487778
594,28,248.90,8.889286
595,5,330.35,66.070000
596,4,223.86,55.965000
597,61,178.74,2.930164
598,97,334.57,3.449175
599,35,128.72,3.677714
600,89,165.86,1.863596
601,42,296.74,7.065238
602,53,382.30,7.213208
603,9,261.80,29.088889
604,82,195.32,2.381951
605,97,271.64,2.800412
606,58,109.62,1.890000
607,49,155.99,3.183469
608,13,415.54,31.964615
609,11,257.53,23.411818
610,53,147.99,2.792264
611,90,336.24,3.736000
612,7,413.38,59.054286
613,27,102.28,3.788148
614,67,421.12,6.285373
615,97,282.14,2.908660
616,57,279.43,4.902281
617,3,337.00,112.333333
618,93,202.49,2.177312
619,48,257.01,5.354375
620,52,358.39,6.892115
621,1,257.32,257.320000
622,84,180.02,2.143095
623,38,228.78,6.020526
624,93,385.10,4.140860
625,60,305.49,5.091500
626,53,301.85,5.695283
627,52,142.78,2.745769
628,89,299.86,3.369213
629,12,233.55,19.462500
630,66,284.45,4.309848
631,30,235.21,7.840333
632,35,121.74,3.478286
633,57,256.60,4.501754
634,27,161.79,5.992222
635,100,404.73,4.047300
636,53,190.47,3.593774
637,56,281.00,5.017857
638,30,220.05,7.335000
639,93,280.27,3.013656
640,7,138.66,19.808571
641,40,156.52,3.913000
642,44,317.89,7.224773
643,80,312.90,3.911250
644,64,198.60,3.103125
645,95,297.10,3.127368
646,13,230.87,17.759231
647,2,287.15,143.575000
648,34,256.39,7.540882
649,87,376.59,4.328621
650,72,364.29,5.059583
651,1,167.13,167.130000
652,26,257.72,9.912308
653,49,359.09,7.328367
654,37,213.44,5.768649
655,48,328.15,6.836458
656,42,326.84,7.781905
657,29,259.65,8.953448
658,77,141.50,1.837662
659,89,191.04,2.146517
660,94,271.25,2.885638
661,64,273.51,4.273594
662,33,249.26,7.553333
663,5,174.10,34.820000
664,52,110.35,2.122115
665,57,290.97,5.104737
666,16,268.94,16.808750
667,48,409.26,8.526250
668,28,317.33,11.333214
669,72,108.64,1.508889
670,44,154.22,3.505000
671,59,154.57,2.619831
672,8,135.96,16.995000
673,10,336.90,33.690000
674,73,383.62,5.255068
675,91,196.78,2.162418
676,28,198.24,7.080000
677,55,399.33,7.260545
678,19,338.76,17.829474
679,96,379.62,3.954375
680,7,267.70,38.242857
681,75,177.42,2.365600
682,14,327.99,23.427857
683,68,122.22,1.797353
684,33,300.58,9.108485
685,2,385.71,192.855000
686,33,374.29,11.342121
687,12,289.21,24.100833
688,63,237.15,3.764286
689,48,366.26,7.630417
690,24,354.74,14.780833
691,27,186.51,6.907778
692,38,161.69,4.255000
693,13,184.08,14.160000
694,32,181.02,5.656875
695,27,168.76,6.250370
696,68,175.87,2.586324
697,62,141.94,2.289355
698,95,348.55,3.668947
699,45,355.39,7.897556
700,37,312.85,8.455405
701,22,336.31,15.286818
702,50,232.77,4.655400
703,89,370.87,4.167079
704,88,164.89,1.873750
705,86,254.05,2.954070
706,26,358.61,13.792692
707,28,108.81,3.886071
708,80,190.22,2.377750
709,29,376.31,12.976207
710,75,123.35,1.644667
711,40,209.43,5.235750
712,27,111.75,4.138889
713,81,218.86,2.701975
714,20,147.99,7.399500
715,64,284.19,4.440469
716,94,305.87,3.253936
717,28,345.49,12.338929
718,12,409.76,34.146667
719,33,130.51,3.954848
720,19,283.09,14.899474
721,8,162.59,20.323750
722,74,381.56,5.156216
723,58,332.07,5.725345
724,61,158.74,2.602295
725,72,342.20,4.752778
726,47,195.57,4.161064
727,9,278.69,30.965556
728,28,198.62,7.093571
729,8,370.81,46.351250
730,87,209.27,2.405402
731,64,159.28,2.488750
732,70,405.51,5.793000
733,29,398.91,13.755517
734,7,284.83,40.690000
735,49,374.29,7.638571
736,7,146.71,20.958571
737,47,182.52,3.883404
738,38,420.14,11.056316
739,74,333.80,4.510811
740,14,116.30,8.307143
741,21,359.27,17.108095
742,23,110.08,4.786087
743,37,245.73,6.641351
744,98,406.15,4.144388
745,64,161.06,2.516563
746,32,370.22,11.569375
747,17,323.45,19.026471
748,55,256.30,4.660000
749,44,410.59,9.331591
750,59,230.88,3.913220
751,100,362.13,3.621300
752,26,140.17,5.391154
753,45,332.80,7.395556
754,88,153.47,1.743977
755,59,339.06,5.746780
756,20,286.03,14.301500
757,36,305.65,8.490278
758,44,244.89,5.565682
759,21,399.59,19.028095
760,59,222.74,3.775254
761,48,391.95,8.165625
762,97,151.25,1.559278
763,24,228.62,9.525833
764,59,332.27,5.631695
765,37,222.84,6.022703
766,96,303.35,3.159896
767,14,101.47,7.247857
768,70,166.56,2.379429
769,60,233.03,3.883833
770,29,253.97,8.757586
771,29,337.36,11.633103
772,12,409.77,34.147500
773,53,315.53,5.953396
774,22,332.88,15.130909
775,15,138.44,9.229333
776,9,293.91,32.656667
777,36,155.71,4.325278
778,21,393.71,18.748095
779,43,401.91,9.346744
780,74,298.44,4.032973
781,17,261.64,15.390588
782,13,240.24,18.480000
783,79,347.27,4.395823
784,84,303.11,3.608452
785,88,414.18,4.706591
786,73,421.22,5.770137
787,56,410.38,7.328214
788,49,403.44,8.233469
789,53,123.71,2.334151
790,5,117.16,23.432000
791,42,263.30,6.269048
792,5,128.57,25.714000
793,17,111.29,6.546471
794,15,310.81,20.720667
795,33,151.88,4.602424
796,86,321.61,3.739651
797,71,226.00,3.183099
798,11,117.45,10.677273
799,80,308.25,3.853125
800,68,145.72,2.142941
801,40,352.47,8.811750
802,99,365.07,3.687576
803,13,404.28,31.098462
804,38,357.02,9.395263
805,95,376.33,3.961368
806,13,334.13,25.702308
807,47,356.66,7.588511
808,59,392.68,6.655593
809,90,190.63,2.118111
810,96,109.02,1.135625
811,7,189.97,27.138571
812,94,414.99,4.414787
813,63,398.52,6.325714
814,94,348.85,3.711170
815,28,268.33,9.583214
816,42,119.75,2.851190
817,72,107.83,1.497639
818,25,133.27,5.330800
819,27,257.38,9.532593
820,6,206.94,34.490000
821,52,337.16,6.483846
822,33,419.73,12.719091
823,40,420.84,10.521000
824,30,287.94,9.598000
825,67,253.96,3.790448
826,48,332.75,6.932292
827,79,336.74,4.262532
828,21,110.50,5.261905
829,6,334.81,55.801667
830,66,375.46,5.688788
831,27,275.91,10.218889
832,9,169.29,18.810000
833,52,323.87,6.228269
834,69,111.51,1.616087
835,27,327.84,12.142222
836,70,391.34,5.590571
837,70,181.33,2.590429
838,54,147.78,2.736667
839,24,222.65,9.277083
840,36,173.14,4.809444
841,36,417.52,11.597778
842,58,225.91,3.895000
843,88,177.23,2.013977
844,8,424.85,53.106250
845,18,174.15,9.675000
846,39,303.93,7.793077
847,14,143.88,10.277143
848,30,412.50,13.750000
849,57,261.77,4.592456
850,20,368.02,18.401000
851,32,410.62,12.831875
852,30,211.74,7.058000
853,11,339.95,30.904545
854,8,285.39,35.673750
855,31,276.39,8.915806
856,11,253.49,23.044545
857,34,398.19,11.711471
858,52,353.39,6.795962
859,3,371.68,123.893333
860,15,255.09,17.006000
861,34,311.82,9.171176
862,24,251.13,10.463750
863,84,104.95,1.249405
864,50,158.57,3.171400
865,78,421.79,5.407564
866,6,325.93,54.321667
867,90,392.85,4.365000
868,74,126.79,1.713378
869,15,189.41,12.627333
870,55,299.24,5.440727
871,54,205.52,3.805926
872,76,252.90,3.327632
873,72,168.85,2.345139
874,88,307.27,3.491705
875,50,361.77,7.235400
876,58,310.73,5.357414
877,63,416.06,6.604127
878,2,344.18,172.090000
879,93,156.31,1.680753
880,66,201.51,3.053182
881,15,249.43,16.628667
882,87,401.63,4.616437
883,45,253.79,5.639778
884,10,113.85,11.385000
885,96,345.16,3.595417
886,31,321.52,10.371613
887,48,380.98,7.937083
888,75,397.06,5.294133
889,39,286.06,7.334872
890,31,345.22,11.136129
891,91,336.71,3.700110
892,68,164.66,2.421471
893,31,411.11,13.261613
894,61,392.78,6.439016
895,94,387.34,4.120638
896,97,198.67,2.048144
897,49,101.59,2.073265
898,62,366.41,5.909839
899,2,392.57,196.285000
900,29,324.35,11.184483
901,84,367.93,4.380119
902,39,167.08,4.284103
903,61,282.87,4.637213
904,67,102.69,1.532687
905,6,251.66,41.943333
906,49,407.49,8.316122
907,42,250.16,5.956190
908,2,219.20,109.600000
909,1,149.53,149.530000
910,89,216.83,2.436292
911,66,324.18,4.911818
912,82,309.18,3.770488
913,3,263.46,87.820000
914,33,329.46,9.983636
915,60,317.44,5.290667
916,80,100.78,1.259750
917,50,402.11,8.042200
918,53,316.28,5.967547
919,6,138.77,23.128333
920,34,271.30,7.979412
921,17,151.18,8.892941
922,78,116.87,1.498333
923,17,147.97,8.704118
924,33,395.38,11.981212
925,21,395.24,18.820952
926,10,301.85,30.185000
927,53,240.53,4.538302
928,76,210.87,2.774605
929,13,293.19,22.553077
930,6,410.24,68.373333
931,15,284.14,18.942667
932,32,270.40,8.450000
933,15,192.74,12.849333
934,15,276.75,18.450000
935,54,268.46,4.971481
936,10,340.10,34.010000
937,32,326.12,10.191250
938,58,417.13,7.191897
939,58,168.15,2.899138
940,19,132.96,6.997895
941,48,202.09,4.210208
942,20,160.57,8.028500
943,56,174.54,3.116786
944,24,411.03,17.126250
945,59,332.64,5.637966
946,22,410.72,18.669091
947,88,312.93,3.556023
948,34,196.20,5.770588
949,6,396.22,66.036667
950,6,221.67,36.945000
951,5,100.81,20.162000
952,16,248.04,15.502500
953,20,390.97,19.548500
954,64,296.18,4.627813
955,37,213.16,5.761081
956,8,356.52,44.565000
957,49,190.62,3.890204
958,82,298.99,3.646220
959,74,256.52,3.466486
960,58,280.30,4.832759
961,2,124.28,62.140000
962,25,143.16,5.726400
963,98,188.51,1.923571
964,61,398.25,6.528689
965,31,286.55,9.243548
966,41,334.48,8.158049
967,55,139.90,2.543636
968,60,108.17,1.802833
969,28,216.22,7.722143
970,77,390.59,5.072597
971,16,277.65,17.353125
972,66,198.59,3.008939
973,4,254.37,63.592500
974,97,250.30,2.580412
975,31,381.30,12.300000
976,62,346.43,5.587581
977,77,321.95,4.181169
978,94,413.08,4.394468
979,21,115.46,5.498095
980,8,259.98,32.497500
981,75,376.77,5.023600
982,74,153.51,2.074459
983,61,326.61,5.354262
984,34,207.60,6.105882
985,16,256.01,16.000625
986,45,364.12,8.091556
987,89,120.76,1.356854
988,79,276.56,3.500759
989,38,215.16,5.662105
990,37,213.30,5.764865
991,83,208.13,2.507590
992,4,328.23,82.057500
993,33,197.09,5.972424
994,51,397.83,7.800588
995,34,390.49,11.485000
996,50,321.96,6.439200
997,68,125.20,1.841176
998,59,210.36,3.565424
999,74,366.30,4.950000
1000,85,352.18,4.143294
